trial_number,batch_size,lr,weight_decay,dropout_rate,fc_units,best_epoch,best_val_acc,best_val_loss,best_train_acc,best_train_loss,final_test_acc,train_size,val_size,test_size,total_epochs,early_stopped,timestamp
0,64,0.0004128205,4.208e-06,0.25,512,30,0.95161,0.16816,0.99867,0.00473,0.93651,1500,186,189,37,True,2025-12-29 18:24:39
1,64,0.004147225,0.0021368329,0.25,512,3,0.55376,1.05821,0.56933,0.85097,0.51852,1500,186,189,10,True,2025-12-29 18:26:11
2,64,6.10968e-05,0.0002801635,0.2,512,14,0.93548,0.17209,1.0,0.00671,0.93651,1500,186,189,21,True,2025-12-29 18:29:16
3,64,0.0002442887,0.0002342385,0.2,256,3,0.92473,0.22077,0.992,0.02366,0.91005,1500,186,189,10,True,2025-12-29 18:30:47
4,128,0.0015199881,1.65369e-05,0.2,256,16,0.9086,0.34395,0.99,0.02688,0.91534,1500,186,189,23,True,2025-12-29 18:36:30
5,64,0.002845958,1.08423e-05,0.4,512,17,0.86022,0.48253,0.98,0.05606,0.83069,1500,186,189,24,True,2025-12-29 18:40:03
6,128,0.0012361189,0.0057279045,0.5,512,8,0.87097,0.43734,0.97933,0.06747,0.81481,1500,186,189,15,True,2025-12-29 18:42:18
7,64,7.55191e-05,3.58682e-05,0.25,256,12,0.94624,0.14326,1.0,0.00812,0.92063,1500,186,189,19,True,2025-12-29 18:45:10
8,64,0.0014625327,1.987e-06,0.5,256,15,0.87097,0.39329,0.97933,0.05911,0.82011,1500,186,189,22,True,2025-12-29 18:48:26
9,64,0.0009280438,0.0012164139,0.2,256,14,0.90323,0.25602,0.99333,0.02397,0.90476,1500,186,189,21,True,2025-12-29 18:51:30
10,32,1.03797e-05,1.072e-06,0.35000000000000003,512,21,0.91398,0.24808,1.0,0.02452,0.89418,1500,186,189,28,True,2025-12-29 18:56:53
11,32,0.0001383545,2.25524e-05,0.30000000000000004,256,13,0.96237,0.15553,0.99733,0.0107,0.9418,1500,186,189,20,True,2025-12-29 19:00:02
12,32,0.000252701,5.1045e-06,0.30000000000000004,512,21,0.96237,0.09398,0.99867,0.004,0.94709,1500,186,189,28,True,2025-12-29 19:04:02
13,32,4.64242e-05,3.83614e-05,0.35000000000000003,256,5,0.93011,0.23037,1.0,0.01945,0.91534,1500,186,189,12,True,2025-12-29 19:05:52
14,32,0.0001408283,6.2301e-06,0.30000000000000004,512,10,0.95161,0.12582,0.99933,0.00692,0.94709,1500,186,189,17,True,2025-12-29 19:08:22
15,32,2.15723e-05,9.84176e-05,0.4,256,10,0.93548,0.2067,1.0,0.02188,0.86772,1500,186,189,17,True,2025-12-29 19:11:00
16,32,0.0003760589,3.68355e-05,0.30000000000000004,512,7,0.91935,0.29703,0.98467,0.04133,0.89947,1500,186,189,14,True,2025-12-29 19:13:07
17,32,0.0001355973,3.2e-06,0.30000000000000004,256,16,0.97312,0.14836,1.0,0.00379,0.93122,1500,186,189,23,True,2025-12-29 19:16:35
18,32,0.0001210425,1.9635e-06,0.4,256,6,0.94086,0.21583,0.99533,0.01854,0.8836,1500,186,189,13,True,2025-12-29 19:18:37
19,32,3.32271e-05,1.41787e-05,0.30000000000000004,256,9,0.95161,0.15864,0.99933,0.01311,0.92593,1500,186,189,16,True,2025-12-29 19:21:12
20,128,0.0004982875,0.000112948,0.45,256,12,0.9086,0.45156,0.998,0.0111,0.84127,1500,186,189,19,True,2025-12-29 19:24:17
21,32,0.0001556482,4.1581e-06,0.30000000000000004,256,18,0.96774,0.19873,0.99933,0.0026,0.9418,1500,186,189,25,True,2025-12-29 19:28:04
22,32,0.0001236936,2.8005e-06,0.35000000000000003,256,4,0.93548,0.21094,0.99467,0.02271,0.93122,1500,186,189,11,True,2025-12-29 19:29:43
23,32,0.0001004461,1.0904e-06,0.25,256,8,0.93011,0.23347,1.0,0.00839,0.90476,1500,186,189,15,True,2025-12-29 19:32:05
24,32,0.0001875821,9.1832e-06,0.30000000000000004,256,5,0.95699,0.09803,0.99333,0.03181,0.92063,1500,186,189,12,True,2025-12-29 19:34:02
25,32,3.08531e-05,2.0367e-05,0.35000000000000003,256,7,0.93548,0.19993,0.99933,0.01809,0.92593,1500,186,189,14,True,2025-12-29 19:36:16
26,32,0.0006907374,6.68216e-05,0.30000000000000004,256,18,0.96237,0.15375,0.99333,0.01587,0.89947,1500,186,189,25,True,2025-12-29 19:40:04
27,128,0.0001937994,3.2379e-06,0.25,256,7,0.96237,0.17818,1.0,0.00202,0.90476,1500,186,189,14,True,2025-12-29 19:42:22
28,32,7.42247e-05,7.1124e-06,0.4,256,6,0.92473,0.17937,0.99133,0.04321,0.86772,1500,186,189,13,True,2025-12-29 19:44:24
29,32,0.0004109473,3.936e-06,0.25,256,4,0.90323,0.24491,0.96867,0.09292,0.86772,1500,186,189,11,True,2025-12-29 19:46:08
30,32,0.0002907779,2.14443e-05,0.30000000000000004,256,12,0.96237,0.15877,1.0,0.00236,0.92063,1500,186,189,19,True,2025-12-29 19:49:08
31,32,0.0001777118,5.6355e-06,0.30000000000000004,512,14,0.94624,0.24861,0.99733,0.00963,0.93122,1500,186,189,21,True,2025-12-29 19:52:20
32,32,0.0002903712,2.2886e-06,0.35000000000000003,512,28,0.97849,0.13219,0.99933,0.00248,0.92593,1500,186,189,35,True,2025-12-29 19:57:37
33,32,9.40522e-05,1.7434e-06,0.35000000000000003,512,16,0.95699,0.19215,0.99933,0.00508,0.92063,1500,186,189,23,True,2025-12-29 20:01:09
34,32,0.0005546851,2.3014e-06,0.35000000000000003,512,29,0.94624,0.26172,0.99667,0.01476,0.91534,1500,186,189,36,True,2025-12-29 20:06:47
35,128,5.21693e-05,3.7129e-06,0.25,256,10,0.90323,0.25165,1.0,0.01941,0.87831,1500,186,189,17,True,2025-12-29 20:09:43
36,32,0.0003084433,9.1817e-06,0.45,512,16,0.93548,0.21116,0.99733,0.00905,0.92593,1500,186,189,23,True,2025-12-29 20:13:31
37,32,0.0001596265,1.4659e-06,0.30000000000000004,256,16,0.96237,0.15895,0.998,0.014,0.94709,1500,186,189,23,True,2025-12-29 20:17:05
38,128,8.37468e-05,0.0004268251,0.35000000000000003,512,12,0.89785,0.34759,1.0,0.01126,0.91005,1500,186,189,19,True,2025-12-29 20:20:09
39,64,0.0007322076,1.2877e-05,0.2,256,9,0.90323,0.29114,0.986,0.04138,0.88889,1500,186,189,16,True,2025-12-29 20:22:41
40,32,0.0022027861,2.60686e-05,0.4,512,17,0.81183,0.44898,0.95267,0.14119,0.80423,1500,186,189,24,True,2025-12-29 20:26:26
41,32,0.0002314912,3.8767e-06,0.30000000000000004,512,23,0.94086,0.20768,1.0,0.00238,0.92593,1500,186,189,30,True,2025-12-29 20:31:04
42,32,0.0002606343,4.9547e-06,0.25,512,8,0.91398,0.3021,0.98867,0.04257,0.89947,1500,186,189,15,True,2025-12-29 20:33:24
43,32,0.0002944113,8.198e-06,0.30000000000000004,512,22,0.95161,0.23488,0.99667,0.01496,0.93122,1500,186,189,29,True,2025-12-29 20:37:57
44,64,6.28438e-05,0.0078765465,0.35000000000000003,512,4,0.92473,0.22304,0.99933,0.0056,0.89418,1500,186,189,11,True,2025-12-29 20:39:48
45,32,0.0001249261,1.4523e-06,0.30000000000000004,512,21,0.96237,0.17123,1.0,0.00259,0.95767,1500,186,189,28,True,2025-12-29 20:44:08
46,32,0.0003679326,2.7155e-06,0.25,256,7,0.91398,0.23939,0.98133,0.05385,0.89947,1500,186,189,14,True,2025-12-29 20:46:21
47,32,0.0002158375,5.3558e-06,0.35000000000000003,512,23,0.95161,0.17802,1.0,0.00151,0.92063,1500,186,189,30,True,2025-12-29 20:51:03
48,64,0.0010465522,5.1266e-05,0.30000000000000004,256,15,0.95161,0.27141,0.98667,0.04607,0.88889,1500,186,189,22,True,2025-12-29 20:54:32
49,32,0.0001412829,1.0167e-06,0.2,512,15,0.96774,0.11691,1.0,0.00155,0.96296,1500,186,189,22,True,2025-12-29 20:58:00
